time,gFx,gFy,gFz,TgF
16:43:37:217,0.9814,0.0518,0.0853,0.987
16:43:37:222,0.9817,0.0515,0.0863,0.987
16:43:37:227,0.9841,0.0508,0.0863,0.989
16:43:37:231,0.9863,0.0493,0.0846,0.991
16:43:37:237,0.9871,0.0491,0.0836,0.992
16:43:37:241,0.9863,0.0488,0.0812,0.991
16:43:37:248,0.9849,0.0505,0.0792,0.989
16:43:37:252,0.9829,0.0530,0.0770,0.987
16:43:37:258,0.9800,0.0542,0.0758,0.984
16:43:37:262,0.9785,0.0547,0.0765,0.983
16:43:37:266,0.9756,0.0554,0.0778,0.980
16:43:37:272,0.9722,0.0586,0.0802,0.977
16:43:37:278,0.9726,0.0588,0.0805,0.978
16:43:37:286,0.9753,0.0559,0.0797,0.980
16:43:37:287,0.9775,0.0540,0.0839,0.983
16:43:37:292,0.9763,0.0530,0.0873,0.982
16:43:37:297,0.9748,0.0540,0.0880,0.980
16:43:37:302,0.9753,0.0547,0.0873,0.981
16:43:37:307,0.9766,0.0537,0.0870,0.982
16:43:37:313,0.9800,0.0530,0.0870,0.985
16:43:37:317,0.9827,0.0527,0.0836,0.988
16:43:37:322,0.9819,0.0522,0.0817,0.987
16:43:37:327,0.9802,0.0515,0.0812,0.985
16:43:37:332,0.9790,0.0515,0.0814,0.984
16:43:37:337,0.9792,0.0510,0.0824,0.984
16:43:37:341,0.9819,0.0522,0.0819,0.987
16:43:37:348,0.9836,0.0500,0.0819,0.988
16:43:37:352,0.9844,0.0474,0.0831,0.989
16:43:37:358,0.9854,0.0452,0.0831,0.990
16:43:37:362,0.9880,0.0434,0.0829,0.992
16:43:37:367,0.9880,0.0430,0.0836,0.993
16:43:37:373,0.9868,0.0430,0.0812,0.991
16:43:37:379,0.9868,0.0412,0.0790,0.991
16:43:37:385,0.9851,0.0403,0.0797,0.989
16:43:37:388,0.9812,0.0415,0.0822,0.986
16:43:37:392,0.9780,0.0417,0.0866,0.983
16:43:37:398,0.9775,0.0405,0.0890,0.982
16:43:37:402,0.9763,0.0390,0.0866,0.981
16:43:37:407,0.9753,0.0388,0.0814,0.979
16:43:37:412,0.9768,0.0390,0.0773,0.981
16:43:37:417,0.9775,0.0395,0.0785,0.981
16:43:37:422,0.9788,0.0405,0.0812,0.983
16:43:37:427,0.9797,0.0415,0.0836,0.984
16:43:37:433,0.9792,0.0434,0.0861,0.984
16:43:37:437,0.9790,0.0459,0.0885,0.984
16:43:37:442,0.9800,0.0476,0.0922,0.985
16:43:37:448,0.9800,0.0486,0.0963,0.986
16:43:37:453,0.9814,0.0491,0.0978,0.988
16:43:37:458,0.9846,0.0488,0.0956,0.990
16:43:37:462,0.9866,0.0478,0.0939,0.992
16:43:37:468,0.9883,0.0459,0.0936,0.994
16:43:37:473,0.9898,0.0447,0.0941,0.995
16:43:37:478,0.9888,0.0444,0.0956,0.994
16:43:37:484,0.9851,0.0452,0.0980,0.991
16:43:37:492,0.9800,0.0469,0.1005,0.986
16:43:37:497,0.9768,0.0478,0.1029,0.983
16:43:37:503,0.9748,0.0476,0.1049,0.982
16:43:37:504,0.9734,0.0466,0.1066,0.980
16:43:37:511,0.9731,0.0461,0.1088,0.980
16:43:37:512,0.9736,0.0459,0.1083,0.981
16:43:37:519,0.9756,0.0442,0.1064,0.982
16:43:37:522,0.9766,0.0398,0.1022,0.983
16:43:37:528,0.9792,0.0373,0.0961,0.985
16:43:37:533,0.9836,0.0373,0.0892,0.988
16:43:37:538,0.9883,0.0366,0.0787,0.992
16:43:37:542,0.9905,0.0349,0.0668,0.993
16:43:37:548,0.9893,0.0332,0.0604,0.992
16:43:37:553,0.9873,0.0329,0.0619,0.990
