time,gFx,gFy,gFz,TgF
17:36:23:688,1.0384,-0.0841,0.0042,1.042
17:36:23:693,1.0521,-0.0780,0.0088,1.055
17:36:23:698,1.0597,-0.0709,0.0110,1.062
17:36:23:704,1.0694,-0.0658,0.0074,1.071
17:36:23:708,1.0844,-0.0619,0.0015,1.086
17:36:23:712,1.0963,-0.0568,-0.0039,1.098
17:36:23:717,1.1054,-0.0516,-0.0041,1.107
17:36:23:723,1.1139,-0.0472,-0.0039,1.115
17:36:23:728,1.1183,-0.0392,-0.0083,1.119
17:36:23:732,1.1213,-0.0274,-0.0185,1.122
17:36:23:738,1.1242,-0.0123,-0.0269,1.125
17:36:23:743,1.1279,0.0029,-0.0315,1.128
17:36:23:748,1.1354,0.0163,-0.0361,1.136
17:36:23:753,1.1474,0.0258,-0.0413,1.148
17:36:23:762,1.1616,0.0339,-0.0449,1.163
17:36:23:765,1.1777,0.0400,-0.0479,1.179
17:36:23:769,1.1934,0.0437,-0.0489,1.195
17:36:23:779,1.2058,0.0483,-0.0484,1.208
17:36:23:780,1.2141,0.0525,-0.0491,1.216
17:36:23:784,1.2198,0.0535,-0.0511,1.222
17:36:23:787,1.2261,0.0547,-0.0559,1.229
17:36:23:793,1.2278,0.0571,-0.0618,1.231
17:36:23:798,1.2242,0.0615,-0.0679,1.228
17:36:23:805,1.2097,0.0662,-0.0711,1.214
17:36:23:808,1.1924,0.0742,-0.0772,1.197
17:36:23:813,1.1755,0.0821,-0.0943,1.182
17:36:23:818,1.1567,0.0889,-0.1197,1.166
17:36:23:824,1.1288,0.1004,-0.1633,1.145
17:36:23:828,1.1110,0.1031,-0.2048,1.134
17:36:23:834,1.1020,0.1004,-0.2483,1.134
17:36:23:838,1.0924,0.0958,-0.2928,1.135
17:36:23:846,1.0812,0.0940,-0.3253,1.133
17:36:23:853,1.0729,0.1016,-0.3446,1.131
17:36:23:854,1.0736,0.1075,-0.3468,1.133
17:36:23:861,1.0834,0.1031,-0.3292,1.137
17:36:23:864,1.0861,0.1046,-0.3077,1.134
17:36:23:868,1.0873,0.1094,-0.2752,1.127
17:36:23:873,1.0907,0.1126,-0.2278,1.120
17:36:23:878,1.0966,0.1156,-0.1721,1.116
17:36:23:884,1.1049,0.1178,-0.1173,1.117
17:36:23:889,1.1093,0.1202,-0.0755,1.118
17:36:23:893,1.1051,0.1268,-0.0508,1.114
17:36:23:898,1.0902,0.1356,-0.0425,1.099
17:36:23:904,1.0597,0.1449,-0.0484,1.071
17:36:23:909,1.0223,0.1539,-0.0728,1.036
17:36:23:914,0.9939,0.1652,-0.0990,1.012
17:36:23:919,0.9704,0.1754,-0.1210,0.994
17:36:23:925,0.9541,0.1823,-0.1413,0.982
17:36:23:929,0.9394,0.1835,-0.1466,0.968
17:36:23:934,0.9213,0.1803,-0.1461,0.950
17:36:23:939,0.9128,0.1693,-0.1403,0.939
17:36:23:947,0.9208,0.1527,-0.1422,0.944
17:36:23:948,0.9340,0.1388,-0.1471,0.956
17:36:23:963,0.9462,0.1283,-0.1476,0.966
17:36:23:964,0.9509,0.1195,-0.1527,0.970
17:36:23:965,0.9443,0.1192,-0.1608,0.965
17:36:23:969,0.9352,0.1212,-0.1747,0.959
17:36:23:973,0.9289,0.1219,-0.1867,0.955
17:36:23:978,0.9194,0.1197,-0.1938,0.947
17:36:23:984,0.9069,0.1165,-0.1980,0.936
17:36:23:991,0.8954,0.1114,-0.1989,0.924
17:36:23:994,0.8866,0.1055,-0.1950,0.914
17:36:23:999,0.8810,0.0972,-0.1840,0.905
17:36:24:005,0.8807,0.0860,-0.1679,0.901
17:36:24:008,0.8849,0.0772,-0.1452,0.900
17:36:24:014,0.8851,0.0689,-0.1227,0.896
17:36:24:020,0.8812,0.0615,-0.1097,0.890
17:36:24:024,0.8849,0.0610,-0.0909,0.892
17:36:24:030,0.9093,0.0581,-0.0601,0.913
17:36:24:045,0.9475,0.0557,-0.0342,0.950
17:36:24:046,0.9851,0.0554,-0.0134,0.987
17:36:24:047,1.0166,0.0544,0.0027,1.018
17:36:24:049,1.0413,0.0559,0.0115,1.043
17:36:24:054,1.0479,0.0593,0.0042,1.050
17:36:24:059,1.0428,0.0659,-0.0056,1.045
17:36:24:065,1.0262,0.0725,-0.0107,1.029
17:36:24:070,1.0005,0.0762,-0.0083,1.003
17:36:24:075,0.9783,0.0716,0.0013,0.981
17:36:24:079,0.9638,0.0659,-0.0017,0.966
17:36:24:085,0.9546,0.0689,-0.0124,0.957
17:36:24:090,0.9409,0.0740,-0.0193,0.944
17:36:24:094,0.9213,0.0828,-0.0347,0.926
17:36:24:102,0.8976,0.0945,-0.0557,0.904
17:36:24:105,0.8695,0.1087,-0.0743,0.879
17:36:24:110,0.8409,0.1256,-0.0887,0.855
17:36:24:114,0.8218,0.1319,-0.0929,0.838
17:36:24:119,0.8138,0.1329,-0.0885,0.829
17:36:24:125,0.8157,0.1336,-0.0753,0.830
17:36:24:130,0.8096,0.1295,-0.0530,0.822
17:36:24:135,0.8020,0.1288,-0.0396,0.813
17:36:24:144,0.7949,0.1302,-0.0286,0.806
17:36:24:152,0.7927,0.1273,-0.0166,0.803
17:36:24:153,0.7876,0.1195,-0.0071,0.797
17:36:24:159,0.7751,0.1099,-0.0024,0.783
17:36:24:161,0.7585,0.1004,0.0013,0.765
17:36:24:166,0.7580,0.1009,-0.0227,0.765
17:36:24:169,0.7673,0.1041,-0.0508,0.776
17:36:24:176,0.7666,0.0984,-0.0748,0.776
17:36:24:179,0.7720,0.0989,-0.1075,0.786
17:36:24:187,0.7800,0.1094,-0.1251,0.798
17:36:24:190,0.7903,0.1163,-0.1215,0.808
17:36:24:195,0.7984,0.1192,-0.1021,0.814
17:36:24:200,0.7979,0.1224,-0.0706,0.810
17:36:24:211,0.7949,0.1222,-0.0386,0.805
17:36:24:212,0.8045,0.1141,-0.0210,0.813
17:36:24:215,0.8211,0.1002,-0.0291,0.828
17:36:24:219,0.8238,0.0936,-0.0364,0.830
17:36:24:225,0.8157,0.0972,-0.0222,0.822
17:36:24:229,0.8118,0.1072,0.0071,0.819
17:36:24:235,0.8169,0.1178,0.0357,0.826
17:36:24:244,0.8240,0.1312,0.0506,0.836
17:36:24:245,0.8260,0.1417,0.0455,0.839
17:36:24:249,0.8206,0.1476,0.0396,0.835
17:36:24:256,0.8062,0.1537,0.0418,0.822
17:36:24:259,0.8015,0.1552,0.0558,0.818
17:36:24:266,0.8074,0.1527,0.0709,0.825
17:36:24:270,0.8164,0.1473,0.0692,0.833
17:36:24:275,0.8248,0.1366,0.0440,0.837
17:36:24:280,0.8406,0.1283,0.0237,0.851
17:36:24:285,0.8675,0.1244,0.0037,0.876
17:36:24:291,0.8964,0.1268,-0.0247,0.906
17:36:24:295,0.9264,0.1332,-0.0459,0.937
17:36:24:300,0.9602,0.1400,-0.0567,0.972
17:36:24:306,0.9907,0.1476,-0.0596,1.003
17:36:24:310,1.0130,0.1539,-0.0489,1.026
17:36:24:315,1.0252,0.1596,-0.0298,1.038
17:36:24:320,1.0208,0.1684,-0.0141,1.035
17:36:24:327,1.0100,0.1769,0.0059,1.025
17:36:24:330,0.9986,0.1806,0.0313,1.015
17:36:24:336,0.9883,0.1769,0.0548,1.005
17:36:24:344,0.9761,0.1676,0.0702,0.993
17:36:24:346,0.9646,0.1569,0.0829,0.981
17:36:24:351,0.9597,0.1442,0.0895,0.975
17:36:24:357,0.9602,0.1383,0.0856,0.974
17:36:24:360,0.9616,0.1422,0.0802,0.975
17:36:24:366,0.9675,0.1522,0.0712,0.982
17:36:24:371,0.9680,0.1666,0.0531,0.984
17:36:24:375,0.9702,0.1789,0.0379,0.987
17:36:24:380,0.9805,0.1882,0.0281,0.999
17:36:24:387,0.9971,0.2009,0.0257,1.017
17:36:24:391,1.0137,0.2099,0.0225,1.035
17:36:24:395,1.0301,0.2153,0.0176,1.052
17:36:24:400,1.0401,0.2141,0.0167,1.062
17:36:24:407,1.0450,0.2055,0.0235,1.065
17:36:24:410,1.0494,0.1957,0.0426,1.068
17:36:24:415,1.0567,0.1884,0.0692,1.076
17:36:24:420,1.0646,0.1784,0.0900,1.083
17:36:24:428,1.0763,0.1649,0.1037,1.094
17:36:24:430,1.0905,0.1530,0.1139,1.107
17:36:24:437,1.1054,0.1380,0.1125,1.120
17:36:24:447,1.1210,0.1268,0.1068,1.133
17:36:24:449,1.1367,0.1329,0.1174,1.150
17:36:24:453,1.1384,0.1459,0.1284,1.155
17:36:24:459,1.1308,0.1581,0.1330,1.150
17:36:24:461,1.1257,0.1671,0.1372,1.146
17:36:24:466,1.1308,0.1710,0.1418,1.152
17:36:24:470,1.1489,0.1706,0.1457,1.171
17:36:24:476,1.1760,0.1732,0.1513,1.198
17:36:24:481,1.2075,0.1816,0.1631,1.232
17:36:24:487,1.2408,0.1938,0.1750,1.268
17:36:24:490,1.2723,0.2094,0.1804,1.302
17:36:24:496,1.2997,0.2226,0.1724,1.330
17:36:24:501,1.3183,0.2273,0.1486,1.346
17:36:24:507,1.3195,0.2194,0.1169,1.343
17:36:24:510,1.3151,0.2097,0.0932,1.335
17:36:24:516,1.3136,0.2045,0.0726,1.331
17:36:24:521,1.3161,0.2011,0.0394,1.332
17:36:24:528,1.3178,0.1962,-0.0161,1.332
17:36:24:531,1.3092,0.1923,-0.0870,1.326
17:36:24:536,1.2860,0.1921,-0.1557,1.310
17:36:24:545,1.2555,0.1928,-0.2024,1.286
17:36:24:547,1.2168,0.1901,-0.2180,1.251
17:36:24:551,1.1824,0.1889,-0.2173,1.217
17:36:24:556,1.1535,0.2092,-0.2173,1.192
17:36:24:563,1.1257,0.2192,-0.1963,1.163
17:36:24:567,1.1240,0.2153,-0.1716,1.157
17:36:24:571,1.1401,0.2131,-0.1413,1.168
17:36:24:576,1.1609,0.2148,-0.1156,1.186
17:36:24:581,1.1799,0.2221,-0.1036,1.205
17:36:24:587,1.1980,0.2649,-0.0943,1.231
17:36:24:593,1.1919,0.2757,-0.1212,1.229
17:36:24:597,1.1738,0.2515,-0.1567,1.211
17:36:24:602,1.1547,0.2265,-0.1743,1.190
17:36:24:607,1.1213,0.1970,-0.1853,1.153
17:36:24:611,1.0900,0.1534,-0.1941,1.118
17:36:24:617,1.0731,0.1087,-0.1975,1.097
17:36:24:622,1.0636,0.0701,-0.2073,1.086
17:36:24:628,1.0501,0.0312,-0.2322,1.076
17:36:24:631,1.0316,-0.0054,-0.2596,1.064
17:36:24:636,1.0054,-0.0477,-0.2774,1.044
17:36:24:645,0.9739,-0.0817,-0.2735,1.015
17:36:24:647,0.9350,-0.0846,-0.2491,0.971
17:36:24:653,0.8881,-0.0695,-0.2312,0.920
17:36:24:660,0.8494,-0.0621,-0.2192,0.879
17:36:24:661,0.8248,-0.0624,-0.2014,0.851
17:36:24:669,0.8054,-0.0602,-0.1730,0.826
17:36:24:672,0.7869,-0.0502,-0.1373,0.800
17:36:24:677,0.7754,-0.0326,-0.0995,0.782
17:36:24:681,0.7754,-0.0089,-0.0687,0.778
17:36:24:688,0.7866,0.0122,-0.0498,0.788
17:36:24:692,0.8025,0.0320,-0.0391,0.804
17:36:24:696,0.8184,0.0498,-0.0344,0.821
17:36:24:702,0.8321,0.0662,-0.0332,0.835
17:36:24:708,0.8409,0.0801,-0.0335,0.845
17:36:24:712,0.8460,0.0940,-0.0357,0.852
17:36:24:716,0.8494,0.1060,-0.0391,0.857
17:36:24:723,0.8590,0.1156,-0.0425,0.868
17:36:24:727,0.8815,0.1178,-0.0489,0.891
17:36:24:731,0.9115,0.1146,-0.0586,0.921
17:36:24:737,0.9365,0.1129,-0.0687,0.946
17:36:24:747,0.9526,0.1136,-0.0753,0.962
17:36:24:748,0.9629,0.1143,-0.0806,0.973
17:36:24:767,0.9678,0.1158,-0.0831,0.978
17:36:24:772,0.9682,0.1173,-0.0809,0.979
17:36:24:784,0.9602,0.1138,-0.0691,0.969
17:36:24:785,0.9438,0.1055,-0.0479,0.951
17:36:24:785,0.9216,0.0943,-0.0227,0.927
17:36:24:786,0.8988,0.0808,0.0035,0.902
17:36:24:786,0.8805,0.0681,0.0264,0.884
17:36:24:789,0.8668,0.0571,0.0433,0.870
17:36:24:792,0.8565,0.0478,0.0592,0.860
17:36:24:797,0.8458,0.0417,0.0719,0.850
17:36:24:802,0.8294,0.0395,0.0780,0.834
17:36:24:807,0.8045,0.0408,0.0785,0.809
17:36:24:812,0.7788,0.0393,0.0729,0.783
17:36:24:817,0.7671,0.0351,0.0570,0.770
17:36:24:824,0.7688,0.0305,0.0296,0.770
17:36:24:830,0.7764,0.0273,-0.0066,0.777
17:36:24:833,0.7808,0.0244,-0.0493,0.783
17:36:24:838,0.7842,0.0244,-0.0867,0.789
17:36:24:842,0.7874,0.0244,-0.1166,0.796
17:36:24:848,0.7888,0.0241,-0.1410,0.802
17:36:24:853,0.7869,0.0236,-0.1571,0.803
17:36:24:861,0.7832,0.0236,-0.1613,0.800
17:36:24:862,0.7781,0.0251,-0.1518,0.793
17:36:24:868,0.7712,0.0258,-0.1307,0.783
17:36:24:875,0.7605,0.0276,-0.1017,0.768
17:36:24:878,0.7514,0.0302,-0.0669,0.755
17:36:24:883,0.7463,0.0339,-0.0293,0.748
17:36:24:889,0.7468,0.0378,0.0096,0.748
17:36:24:892,0.7509,0.0444,0.0455,0.754
17:36:24:898,0.7505,0.0540,0.0765,0.756
17:36:24:903,0.7531,0.0596,0.1112,0.764
17:36:24:908,0.7632,0.0620,0.1342,0.777
17:36:24:912,0.7744,0.0632,0.1374,0.789
17:36:24:918,0.7891,0.0571,0.1323,0.802
17:36:24:923,0.8091,0.0430,0.1176,0.819
17:36:24:928,0.8230,0.0302,0.0829,0.828
17:36:24:932,0.8318,0.0217,0.0316,0.833
17:36:24:939,0.8340,0.0268,-0.0303,0.835
17:36:24:943,0.8323,0.0351,-0.0885,0.838
17:36:24:948,0.8367,0.0368,-0.1271,0.847
17:36:24:952,0.8472,0.0354,-0.1464,0.861
17:36:24:961,0.8568,0.0337,-0.1547,0.871
17:36:24:962,0.8641,0.0315,-0.1562,0.879
17:36:24:968,0.8707,0.0288,-0.1527,0.884
17:36:24:978,0.8771,0.0271,-0.1398,0.889
17:36:24:979,0.8832,0.0273,-0.1175,0.891
17:36:24:983,0.8949,0.0263,-0.0889,0.900
17:36:24:989,0.9154,0.0246,-0.0613,0.918
17:36:24:994,0.9409,0.0217,-0.0398,0.942
17:36:24:998,0.9690,0.0153,-0.0291,0.970
17:36:25:002,0.9915,0.0082,-0.0291,0.992
17:36:25:009,1.0020,0.0038,-0.0315,1.002
17:36:25:013,1.0052,0.0021,-0.0293,1.006
17:36:25:018,1.0091,0.0024,-0.0234,1.009
17:36:25:024,1.0147,-0.0001,-0.0159,1.015
17:36:25:029,1.0225,-0.0035,-0.0061,1.023
17:36:25:033,1.0289,-0.0081,0.0044,1.029
