time,gFx,gFy,gFz,TgF
16:39:35:271,0.9629,-0.0096,0.2518,0.995
16:39:35:277,0.9624,-0.0081,0.2557,0.996
16:39:35:281,0.9612,-0.0069,0.2579,0.995
16:39:35:286,0.9609,-0.0067,0.2584,0.995
16:39:35:291,0.9609,-0.0074,0.2582,0.995
16:39:35:296,0.9597,-0.0084,0.2574,0.994
16:39:35:301,0.9592,-0.0103,0.2545,0.992
16:39:35:306,0.9580,-0.0123,0.2520,0.991
16:39:35:312,0.9565,-0.0130,0.2503,0.989
16:39:35:316,0.9538,-0.0128,0.2525,0.987
16:39:35:321,0.9514,-0.0130,0.2567,0.985
16:39:35:331,0.9511,-0.0133,0.2608,0.986
16:39:35:333,0.9531,-0.0150,0.2635,0.989
16:39:35:336,0.9572,-0.0174,0.2638,0.993
16:39:35:343,0.9614,-0.0196,0.2604,0.996
16:39:35:346,0.9668,-0.0213,0.2552,1.000
16:39:35:351,0.9731,-0.0223,0.2513,1.005
16:39:35:356,0.9780,-0.0221,0.2481,1.009
16:39:35:361,0.9797,-0.0221,0.2450,1.010
16:39:35:366,0.9780,-0.0211,0.2425,1.008
16:39:35:371,0.9739,-0.0194,0.2410,1.003
16:39:35:377,0.9695,-0.0177,0.2398,0.999
16:39:35:381,0.9648,-0.0164,0.2391,0.994
16:39:35:386,0.9594,-0.0155,0.2403,0.989
16:39:35:395,0.9558,-0.0162,0.2428,0.986
16:39:35:397,0.9541,-0.0162,0.2464,0.986
16:39:35:402,0.9521,-0.0155,0.2511,0.985
16:39:35:407,0.9504,-0.0145,0.2574,0.985
16:39:35:412,0.9489,-0.0140,0.2611,0.984
16:39:35:417,0.9487,-0.0142,0.2621,0.984
16:39:35:422,0.9506,-0.0147,0.2611,0.986
16:39:35:436,0.9533,-0.0145,0.2604,0.988
16:39:35:438,0.9536,-0.0135,0.2584,0.988
16:39:35:440,0.9533,-0.0103,0.2562,0.987
16:39:35:459,0.9541,-0.0074,0.2550,0.988
16:39:35:461,0.9546,-0.0052,0.2552,0.988
16:39:35:461,0.9582,-0.0054,0.2535,0.991
16:39:35:462,0.9616,-0.0089,0.2511,0.994
16:39:35:463,0.9636,-0.0120,0.2486,0.995
16:39:35:466,0.9656,-0.0135,0.2479,0.997
